单词原文,是否已经统一,最终翻译,曾用翻译,选择最终翻译的原因和备注,在本书出现次数,是否为专业名词,是否为头脑风暴图或词云专业名词,出现在章节
Ephemeral,,,,,133,,,第5章、第6章、第7章、第10章、第11章、第15章
Region,,,,,133,,,第1章之前、第3章、第4章、第6章、第11章、第12章、第15章
BACKGROUND,,,,,133,,,第11章
page,,,,,131,,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第11章、第13章、第14章、第15章
Perfview,,,,,131,,,第3章、第5章
place,,,,,130,,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
Explicit,,,,,129,,,第1章之前、第6章、第7章、第10章、第12章、第13章、第15章
Instead,,,,,126,,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第11章、第12章、第14章、第15章
Pointers,,,,,126,,,第1章之前、第1章、第4章、第12章、第13章
user,,,,,126,,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
HIGH,,,,,125,,,第4章
Amount,,,,,125,,,第3章、第6章
framework,,,,,125,,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第11章、第12章、第14章
Execution,,,,,125,,,第3章、第4章、第5章、第6章、第7章、第8章、第11章、第12章、第13章、第15章
Main,,,,,124,,,第1章、第2章、第4章、第6章、第7章、第8章、第10章、第12章、第13章、第15章
NULL,,,,,122,,,第1章、第15章
Remember,,,,,122,,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第9章、第11章、第12章、第13章、第14章、第15章
Normal,,,,,121,,,第1章、第4章、第8章、第9章、第12章、第13章
typical,,,,,118,,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
unsafe,,,,,117,,,第1章、第4章、第6章、第8章、第13章、第14章、第15章
Environment,,,,,117,,,第1章之前、第3章、第11章、第12章、第13章、第15章
add,,,,,115,,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
WEAK,,,,,115,,,第12章
Language,,,,,115,,,第1章之前、第1章、第3章、第4章、第6章、第8章、第13章、第14章、第15章
allocate,,,,,115,,,第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
Although,,,,,113,,,第1章、第2章、第3章、第4章、第5章、第6章、第7章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
Techniques,,,,,112,,,第1章之前、第14章
soH,,,,,111,,,第8章
Target,,,,,111,,,第12章、第13章、第15章
Budget,,,,,111,,,第1章之前、第7章
Regions,,,,,110,,,第1章之前、第3章、第4章、第11章、第15章
fundamentals,,,,,110,,,第1章之前、第1章
Storage,,,,,110,,,第1章之前、第2章、第3章、第4章、第6章、第8章、第13章
Basic,,,,,109,,,第1章之前、第1章、第4章、第5章、第13章、第14章
Marked,,,,,107,,,第8章
Avoid,,,,,106,,,第1章之前、第2章、第4章、第5章、第6章、第10章、第12章、第14章
introduced,,,,,106,,,第1章、第2章、第3章、第4章、第5章、第6章、第7章、第9章、第11章、第12章、第13章、第14章
multiple,,,,,105,,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
Index,,,,,105,,,第1章之前、第2章、第3章、第6章、第7章、第13章、第14章、第15章
Collect,,,,,104,,,第1章之前、第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第15章
explicitly,,,,,104,,,第1章、第2章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
Store,,,,,104,,,第1章、第3章、第4章、第5章、第6章、第13章、第15章
PTR,,,,,104,,,第1章、第6章、第10章
Sizes,,,,,104,,,第1章之前、第5章
Dedicated,,,,,102,,,第12章
Calling,,,,,102,,,第7章、第13章
Mb,,,,,102,,,第7章
executed,,,,,101,,,第1章、第2章、第3章、第4章、第5章、第6章、第7章、第8章、第9章、第10章、第11章、第12章、第13章、第14章、第15章
Assembly,,,,,101,,,第4章、第7章、第8章、第13章、第14章、第15章
